lat,lon,num
47.8365,-120.2376,10
47.56966667,-122.36925,12
47.13286667,-119.4148667,15
46.7253,-119.1047,10
45.22618182,-123.167,11
44.2286,-123.8594,10
44.17272727,-119.589,11
43.71272727,-123.7396364,11
43.06103226,-121.1249677,31
43.04923529,-124.2288824,17
42.9594375,-121.912625,16
42.4159,-121.1938,10
41.897,-121.3986842,19
39.16717647,-121.528,17
38.4255,-121.9854444,18
34.16707692,-117.5311538,13
42.20115385,-120.7873846,13
41.9035,-121.4791429,14
42.188,-120.7801111,9
38.83569231,-122.6952308,13
46.61136364,-117.4214545,11
42.5902,-121.325,15
40.704,-123.5504,10
