month,num,state
Jan,1294,California
Feb,2000,California
Mar,1772,California
Apr,1657,California
May,1533,California
Jun,3174,California
Jul,10303,California
Aug,36820,California
Sep,17175,California
Oct,7173,California
Nov,3840,California
Dec,1837,California
Jan,444,Oregon
Feb,382,Oregon
Mar,552,Oregon
Apr,994,Oregon
May,1069,Oregon
Jun,1312,Oregon
Jul,9276,Oregon
Aug,23757,Oregon
Sep,7612,Oregon
Oct,3038,Oregon
Nov,2565,Oregon
Dec,357,Oregon
Jan,74,Washington
Feb,169,Washington
Mar,865,Washington
Apr,895,Washington
May,463,Washington
Jun,494,Washington
Jul,7384,Washington
Aug,37085,Washington
Sep,4796,Washington
Oct,1693,Washington
Nov,544,Washington
Dec,40,Washington
